auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
02;1000608;02/194/02;"2010-12-04 15:00:00";"2010-12-14 15:10:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"«Альбом Современных деятелей Искусства и литературы».";;"Бумага, печать, переплет - ледерин, золотое и полихромное тиснение. «Коммерческая Скоропечатня Евгения Тиле, приемная Адмиралтейский каналъ № 17». Санкт-Петербург 1901 г. Альбом содержит стихотворные произведения Л.Н. Толстого, К.С. Станиславского, М.И. Чайковского, Ф.И. Шаляпина, Д.Н. Мамина-Сибиряка и др. Колличество страниц - 256. Размер 23х32 см, вес - 1.230 гр (отсутствуют титульный лист и 6 первых страниц, состояние среднее)";1600;1600;02_194_02_1.jpg;02_194_02_2.jpg;02_194_02_3.jpg;02_194_02_4.jpg;02_194_02_5.jpg;02_194_02_6.jpg;02_194_02_7.jpg;02_194_02_8.jpg;02_194_02_9.jpg;02_194_02_10.jpg;02_194_02_11.jpg;;;
02;1000600;02/190/01;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Визитная карточка «Княгиня Юсупова Графиня Сумарокова - Эльстонъ».";;"Картон, чернила. XIX в. Размер 8.5х12.5 см";0;0;02_190_01_2.jpg;02_190_01_1.jpg;;;;;;;;;;;;
02;1000603;02/190/04;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Записка - приглашение на вечер от Князя В.А. Долгорукова.";;"Бумага, чернила. XIX в. Размер 13.5х13.5 см";0;0;02_190_04_3.jpg;02_190_04_2.jpg;02_190_04_1.jpg;;;;;;;;;;;
02;1000607;02/194/01;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Книга. А.Н. Сальников «Русские поэты за сто лет, с пушкинской эпохи до наших дней» (с краткими биографиями и 119 портретами).";;"Бумага, печать, переплет - ледерин, золотое тиснение. «Издание В.И. Губинского», Санкт-Петербург 1901 г. Количество страниц - 600. Размер: 25х17, вес - 1020 гр. (рукописная адресация на обороте титульного листа, потертости переплета)";700;700;02_194_01_6.jpg;02_194_01_7.jpg;02_194_01_9.jpg;02_194_01_10.jpg;02_194_01_11.jpg;02_194_01_12.jpg;02_194_01_3.jpg;02_194_01_4.jpg;02_194_01_5.jpg;02_194_01_2.jpg;02_194_01_1.jpg;;;
;00385;01/100/02;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Памятный альбом «Институт инженеров путей сообщения Императора Александра I»";;"Фотографии преподавателей и выпускников, пять фотографий интерьеров института. кожанный переплет с медными накладками, 1883 г., 28.5х21.5 см (потертости, не хватает нескольких фотографий)";3000;3000;knigi_aljbom_01_100_02_1.jpg;knigi_aljbom_01_100_02_2.jpg;knigi_aljbom_01_100_02_3.jpg;knigi_aljbom_01_100_02_4.jpg;knigi_aljbom_01_100_02_5.jpg;knigi_aljbom_01_100_02_6.jpg;knigi_aljbom_01_100_02_7.jpg;knigi_aljbom_01_100_02_8.jpg;;;;;;
;00387;01/115/03;"2010-09-20 15:00:00";"2010-09-30 15:00:00";;;"Передвижной календарь на 1913 г.";;"Издательство Отто Кирхнер, Санкт-Петербург.";0;0;knigi_kalendarj_01_115_03_1.jpg;knigi_kalendarj_01_115_03_2.jpg;knigi_kalendarj_01_115_03_3.jpg;knigi_kalendarj_01_115_03_4.jpg;;;;;;;;;;
02;1000604;02/190/05;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Приглашение на бал по повелению «Ихъ Императорскихъ Величествъ» 27 февраля 1891 года.";;"Картон, печать, чернила. 27 февраля 1891 года. Размер 13.5х20 см";0;0;02_190_05_2.jpg;02_190_05_1.jpg;;;;;;;;;;;;
02;1000605;02/190/06;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Приглашение на бал по повелению «Ихъ Императорскихъ Величествъ»27 февраля 1891 года (рукописный текст).";;"Картон, чернила. Размер 12.7х19.2 см";0;0;4923368.jpg;4372555.jpg;;;;;;;;;;;;
02;1000606;02/190/07;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Приглашение на бракосочетание сына от Князя и Княгини Васильчиковых.";;"Картон, чернила. XIX в. Размер 12.2х18.5 см";0;0;02_190_07_2.jpg;02_190_07_1.jpg;;;;;;;;;;;;
02;1000601;02/190/02;"2010-12-04 15:00:00";"2010-12-14 15:00:00";"2010-12-04 15:00:00";"2010-12-14 15:00:00";"Приглашение на закладку Музея Изящных Искусств в Москве.";;"Картон, печать, чернила. Начало ХХ в. Размер14.5х23 см";0;0;02_190_02_2.jpg;02_190_02_1.jpg;;;;;;;;;;;;
